Player,Season,Age,Tm,MP,G,TRB,AST,STL,BLK,TOV,PTS,FG%,3P%,TS%,PER,USG%,WS,BPM,VORP,Salary2,Adjusted Salary3
Evan Turner,2013-14,25,TOT,30.3,81,5,3.2,0.8,0.1,2.3,14,0.425,0.321,0.498,12.4,23.2,1.4,-3.3,-0.8,"$6,679,866 ","$7,772,427 "
Wilson Chandler,2013-14,26,DEN,31.1,62,4.7,1.8,0.7,0.5,1.3,13.6,0.416,0.348,0.526,12.4,19.5,3.1,-0.8,0.6,"$6,344,164 ","$7,381,817 "
J.R. Smith,2015-16,30,CLE,30.7,77,2.8,1.7,1.1,0.3,0.8,12.4,0.415,0.4,0.542,12.4,18,5.5,0.5,1.5,"$5,000,000 ","$5,692,639 "
Kentavious Caldwell-Pope,2015-16,22,DET,36.7,76,3.7,1.8,1.4,0.2,1.4,14.5,0.42,0.309,0.521,12.4,18.2,5.3,-0.3,1.2,"$2,891,760 ","$3,292,349 "
Harrison Barnes,2015-16,23,GSW,30.9,66,4.9,1.8,0.6,0.2,0.9,11.7,0.466,0.383,0.559,12.3,15.9,4.9,-1.3,0.3,"$3,873,398 ","$4,409,971 "
Marcus Smart,2016-17,22,BOS,30.4,79,3.9,4.6,1.6,0.4,2,10.6,0.359,0.283,0.486,12,18.8,3.2,-1.3,0.4,"$3,578,880 ","$4,034,418 "
Al-Farouq Aminu,2017-18,27,POR,30,69,7.6,1.2,1.1,0.6,1.1,9.3,0.395,0.369,0.522,12,14.8,4.2,0.4,1.3,"$7,319,035 ","$8,118,032 "
Gerald Wallace,2012-13,30,BRK,30.1,69,4.6,2.6,1.4,0.7,1.6,7.7,0.397,0.282,0.49,11.6,14.5,3.1,0.7,1.3,"$9,682,435 ","$11,463,751 "
Courtney Lee,2014-15,29,MEM,30.6,77,2.3,2,1,0.2,1,10.1,0.448,0.402,0.555,11.5,15.2,4.8,-0.5,0.9,"$5,450,000 ","$6,212,656 "
P.J. Tucker,2015-16,30,PHO,31,82,6.2,2.2,1.3,0.2,1.4,8,0.411,0.33,0.506,10.8,12.7,3.5,-1.2,0.5,"$5,500,000 ","$6,261,902 "
Alonzo Gee,2012-13,25,CLE,31,82,3.9,1.6,1.3,0.4,1.6,10.3,0.41,0.315,0.505,10.5,16.9,1.9,-2.6,-0.4,"$3,500,000 ","$4,143,909 "
Wesley Matthews,2018-19,32,TOT,30.3,69,2.5,2.3,0.8,0.2,1.3,12.2,0.4,0.372,0.546,10.3,17.8,2.7,-1.8,0.1,"$19,360,228 ","$20,874,309 "
Emmanuel Mudiay,2015-16,19,DEN,30.4,68,3.4,5.5,1,0.5,3.2,12.8,0.364,0.319,0.437,9.9,25.7,-2.1,-4.2,-1.2,"$3,102,240 ","$3,531,986 "
Kyle Korver,2015-16,34,ATL,30,80,3.3,2.1,0.8,0.4,1.2,9.2,0.435,0.398,0.578,9.7,13.7,4.1,-1,0.6,"$12,000,000 ","$13,662,333 "
Andre Roberson,2016-17,25,OKC,30.1,79,5.1,1,1.2,1,0.6,6.6,0.464,0.245,0.51,9.6,10.1,4.2,-1,0.6,"$2,183,072 ","$2,460,944 "
Avery Bradley,2018-19,28,TOT,30.2,63,2.8,2.4,0.7,0.3,1.4,9.9,0.408,0.351,0.496,7.6,16.2,0.3,-3.7,-0.8,"$12,000,000 ","$12,938,469 "
